code,product_name,brands,categories,additives_tags,allergens_tags,ingredients_text,nutrition_grades,image_url,energy_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,additives_count,allergens_count,nutrient_score
7622202051647,Tang orange 500g pp,Tang,,,[],,unknown,https://images.openfoodfacts.org/images/products/762/220/205/1647/front_en.3.400.jpg,1620.0,0.0,94.1,92.9,0.0,,0.0882,,,0.0,3.0
7622202026447,Bournvita Shakti 500g pp,,,,[],,unknown,https://images.openfoodfacts.org/images/products/762/220/202/6447/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8906066200038,Red chilli flakes,Keya,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/606/620/0038/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8904335602392,Daily 10g Protein Bar,Yoga Bar,Dietary supplements,"['en:e322', 'en:e322i']","['en:milk', 'en:nuts', 'en:soybeans']","Dates 43%, Protein Blend 21% (Soy Protein Crisp & Whey Protein Concentrate), Cashew Paste, Dark Chocolate 12% (Cocoa Solids, Cocoa Butter, Cocoa Powder, Sugar, Soy Lecithin, Natural Vanilla), Cocoa Powder Cranberries, Chocolate Chips 2% (Cocoa Solids, Cocoa Butter, Cocoa Powder, Sugar, Soy Lecithin, Natural Vanilla). Contains Added Natural Flavours: Rosemary & Chocolate",not-applicable,https://images.openfoodfacts.org/images/products/890/433/560/2392/front_en.12.400.jpg,1670.0,21.8,53.8,42.8,10.6,3.8,0.282,7.6,2.0,3.0,6.0
8906080604546,,Paper Boat,Juice,"['en:e296', 'en:e330']",[],"Water, Pomegranate juice concentrate (9.4%), Apple Juice Concentrate (6.5%). Pomegranate Juice (4.4%), Flavours (Nature-identical and Natural flavouring Substances), lodised salt, Acidity regulators (Citric Acid, Malic Acid) and Vitamin D2 (Ergocalciferol) &quot;Reconstituted 100% Fruit Juice Content.",c,https://images.openfoodfacts.org/images/products/890/608/060/4546/front_en.10.400.jpg,192.0,0.0,11.5,10.8,0.0,0.0,0.1,,2.0,0.0,4.0
8901207034145,Amla Juice,Dabur,Amla juice,['en:e211'],[],"Plyllanthus emblica (99.8 g), Sodium benzoate",unknown,https://images.openfoodfacts.org/images/products/890/120/703/4145/front_en.3.400.jpg,,,,,,,,,1.0,0.0,5.0
8901491003124,West Indies' Hot 'n' Sweet Chilli,Lay's,Plant-based foods and beverages,"['en:e551', 'en:e631']","['en:milk', 'en:nuts', 'en:peanuts']","Potato, Edible Vegetable Oil Palmolein, Sunflower Oil), *Seasoning (Sugar, Maltodextrin, lodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), ~Spices & Condiments, Flavour Enhancers (627 & 631), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking Agent 551), Cocoa Solids, Lactose). &quot;As flavouring agent. ALLERGEN ADVICE: Contains Nut, Milk, Wheat Contains Onion and Garlic May Contain Sulphite",e,https://images.openfoodfacts.org/images/products/890/149/100/3124/front_en.3.400.jpg,2234.0,6.4,55.1,6.0,32.0,14.3,1.6775,0.0,2.0,3.0,1.0
8904145912070,Ensure chocolate 400g,,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/414/591/2070/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8906108306254,Zahidi Dates,Popular,Plant-based foods and beverages,[],[],Dates,d,https://images.openfoodfacts.org/images/products/890/610/830/6254/front_en.3.400.jpg,1431.0,2.0,82.79,68.8,0.0,0.0,0.00625,,0.0,0.0,3.0
8901248707602,Trifala Churan,Zandu,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/124/870/7602/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8903363007636,Nutri Delite 2 in 1s,Nutri Delite,Plant-based foods and beverages,"['en:e150d', 'en:e306', 'en:e307b', 'en:e322', 'en:e322i']","['en:gluten', 'en:milk', 'en:nuts', 'en:soybeans']","WHEAT SOLIDS(46%)[REFINED WHEAT FLOUR (MAIDA)(33.3%), WHOLE WHEAT FLOUR (ATTA)(12.6%)] SUGAR, CORN FLOUR, OAT FLOUR, RICE FLOUR, COCOA POWDER(2.6%), LIQUID GLUCOSE, WHEAT BRAN, PALMOLEIN OIL, MALT EXTRACT, IODISED SALT, ARTIFICIAL FLAVOURING SUSTANCES - CHOCOLATE, VANILLA, HONEY, CALCIUM CARBONATE, SOYA LECITHIN (INS 322 (i)), MINERALS AND VITAMINS, NATURAL COLOUR (INS 150d), TOCOPHEROL (INS 307b)",d,https://images.openfoodfacts.org/images/products/890/336/300/7636/front_en.3.400.jpg,1621.3,6.5,81.6,32.7,2.9,1.2,0.28,0.0,5.0,4.0,3.0
7622201150303,Shots,Cadbury,Chocolate balls,"['en:e102', 'en:e110', 'en:e122', 'en:e133', 'en:e414', 'en:e442', 'en:e476', 'en:e903']","['en:milk', 'en:sulphur-dioxide-and-sulphites']","Sugar, Hydrogenated Oils, Lactose-Rich Deproteinized Whey Permeate Powder, Cocoa solids, Emulsifiers (442, 476), Stabilizer (414), Maltodextrin, Glazing Agent (903), Flavours (Natural, Nature identical and Artificial (Caramel and Vanilla) Flavouring Substances), Colours (102, 133, 122, 110).",e,https://images.openfoodfacts.org/images/products/762/220/115/0303/front_en.3.400.jpg,1979.0,2.1,76.2,71.9,18.2,18.0,0.25,,8.0,2.0,2.0
8901246004963,Pizza and Pasta Sauce,Del Monte,Pizza sauces,[],[],,unknown,https://images.openfoodfacts.org/images/products/890/124/600/4963/front_en.3.400.jpg,,,,,,,,,0.0,0.0,5.0
8908001588560,Wheat Chapati,Asal,Plant-based foods and beverages,"['en:e202', 'en:e412']",['en:gluten'],"Whole Wheat Flour (Atta) (57.4%), Refined Sunflower oil (3.5%), Wheat gluten, RO-purified Water, Preservative (INS 202), Stabilizer (INS 412), Baking powder, lodized Salt",unknown,https://images.openfoodfacts.org/images/products/890/800/158/8560/front_en.3.400.jpg,1330.0,,50.9,5.0,8.82,3.85,0.625,0.0,2.0,1.0,4.0
